relpath,changed_lines_normalized,kind
gfx/interface/frontend/gamesetup_delete_mask.dds,-1,binary-differs
gfx/interface/frontend/hex_bg_corner.dds,-1,binary-differs
gfx/interface/frontend/pre_scripted.dds,-1,binary-differs
gfx/interface/frontend/selection_planet.dds,-1,binary-differs
gfx/interface/frontend/title_glow_big.dds,-1,binary-differs
gfx/interface/icons/colonizability_icons_shadow.dds,-1,binary-differs
gfx/interface/icons/fleet_size_icon.dds,-1,binary-differs
gfx/interface/icons/icon_leader.dds,-1,binary-differs
gfx/interface/icons/jobs/job_hunter.dds,-1,binary-differs
gfx/interface/icons/leaders/leaders_large.dds,-1,binary-differs
gfx/interface/icons/leaders/leaders_medium.dds,-1,binary-differs
gfx/interface/icons/leaders/leaders_small.dds,-1,binary-differs
gfx/interface/icons/message/message_background.dds,0,identical
gfx/interface/icons/modifiers/mod_consumer_goods_cost_add.dds,-1,binary-differs
gfx/interface/icons/modifiers/mod_consumer_goods_cost_mult.dds,-1,binary-differs
gfx/interface/icons/modifiers/mod_consumer_goods_produces_add.dds,-1,binary-differs
gfx/interface/icons/modifiers/mod_consumer_goods_produces_mult.dds,-1,binary-differs
gfx/interface/icons/modifiers/mod_consumer_goods_upkeep_add.dds,-1,binary-differs
gfx/interface/icons/modifiers/mod_consumer_goods_upkeep_mult.dds,-1,binary-differs
gfx/interface/icons/modifiers/mod_energy_cost_add.dds,-1,binary-differs
gfx/interface/icons/modifiers/mod_energy_cost_mult.dds,-1,binary-differs
gfx/interface/icons/modifiers/mod_energy_produces_add.dds,-1,binary-differs
gfx/interface/icons/modifiers/mod_energy_produces_mult.dds,-1,binary-differs
gfx/interface/icons/modifiers/mod_energy_upkeep_add.dds,-1,binary-differs
gfx/interface/icons/modifiers/mod_energy_upkeep_mult.dds,-1,binary-differs
gfx/interface/icons/modifiers/mod_food_cost_add.dds,-1,binary-differs
gfx/interface/icons/modifiers/mod_food_cost_mult.dds,-1,binary-differs
gfx/interface/icons/modifiers/mod_food_produces_add.dds,-1,binary-differs
gfx/interface/icons/modifiers/mod_food_produces_mult.dds,-1,binary-differs
gfx/interface/icons/modifiers/mod_food_upkeep_add.dds,-1,binary-differs
gfx/interface/icons/modifiers/mod_food_upkeep_mult.dds,-1,binary-differs
gfx/interface/icons/modifiers/mod_influence_negative.dds,-1,binary-differs
gfx/interface/icons/modifiers/mod_minerals_cost_add.dds,-1,binary-differs
gfx/interface/icons/modifiers/mod_minerals_cost_mult.dds,-1,binary-differs
gfx/interface/icons/modifiers/mod_minerals_produces_add.dds,-1,binary-differs
gfx/interface/icons/modifiers/mod_minerals_produces_mult.dds,-1,binary-differs
gfx/interface/icons/modifiers/mod_minerals_upkeep_add.dds,-1,binary-differs
gfx/interface/icons/modifiers/mod_minerals_upkeep_mult.dds,-1,binary-differs
gfx/interface/icons/modifiers/mod_resource_consumer_goods_mult.dds,-1,binary-differs
gfx/interface/icons/modifiers/mod_resource_energy_mult.dds,-1,binary-differs
gfx/interface/icons/modifiers/mod_resource_food_mult.dds,-1,binary-differs
gfx/interface/icons/modifiers/mod_resource_minerals_mult.dds,-1,binary-differs
gfx/interface/icons/modifiers/mod_resource_unity_mult.dds,-1,binary-differs
gfx/interface/icons/modifiers/mod_trade_value_add.dds,-1,binary-differs
gfx/interface/icons/modifiers/mod_trade_value_mult.dds,-1,binary-differs
gfx/interface/icons/modifiers/mod_unity_cost_add.dds,-1,binary-differs
gfx/interface/icons/modifiers/mod_unity_cost_mult.dds,-1,binary-differs
gfx/interface/icons/modifiers/mod_unity_gain_mult.dds,-1,binary-differs
gfx/interface/icons/modifiers/mod_unity_loss_mult.dds,-1,binary-differs
gfx/interface/icons/modifiers/mod_unity_produces_add.dds,-1,binary-differs
gfx/interface/icons/modifiers/mod_unity_produces_mult.dds,-1,binary-differs
gfx/interface/icons/modifiers/mod_unity_upkeep_add.dds,-1,binary-differs
gfx/interface/icons/modifiers/mod_unity_upkeep_mult.dds,-1,binary-differs
gfx/interface/icons/pop.dds,-1,binary-differs
gfx/interface/icons/research_icon.dds,-1,binary-differs
gfx/interface/icons/resources/consumer_goods.dds,-1,binary-differs
gfx/interface/icons/resources/consumer_goods_grey.dds,-1,binary-differs
gfx/interface/icons/resources/consumer_goods_large.dds,-1,binary-differs
gfx/interface/icons/resources/energy.dds,-1,binary-differs
gfx/interface/icons/resources/energy_grey.dds,-1,binary-differs
gfx/interface/icons/resources/engineering_research.dds,-1,binary-differs
gfx/interface/icons/resources/engineering_research_grey.dds,-1,binary-differs
gfx/interface/icons/resources/food.dds,-1,binary-differs
gfx/interface/icons/resources/food_grey.dds,-1,binary-differs
gfx/interface/icons/resources/food_market_large.dds,-1,binary-differs
gfx/interface/icons/resources/influence.dds,-1,binary-differs
gfx/interface/icons/resources/influence_grey.dds,-1,binary-differs
gfx/interface/icons/resources/mineral_market_large.dds,-1,binary-differs
gfx/interface/icons/resources/minerals.dds,-1,binary-differs
gfx/interface/icons/resources/minerals_grey.dds,-1,binary-differs
gfx/interface/icons/resources/physics_research.dds,-1,binary-differs
gfx/interface/icons/resources/physics_research_grey.dds,-1,binary-differs
gfx/interface/icons/resources/society_research.dds,-1,binary-differs
gfx/interface/icons/resources/society_research_grey.dds,-1,binary-differs
gfx/interface/icons/resources/trade_value.dds,-1,binary-differs
gfx/interface/icons/resources/trade_value_grey.dds,-1,binary-differs
gfx/interface/icons/resources/trade_value_large.dds,-1,binary-differs
gfx/interface/icons/resources/unity.dds,-1,binary-differs
gfx/interface/icons/resources/unity_grey.dds,-1,binary-differs
gfx/interface/icons/ship_classes.dds,-1,binary-differs
gfx/interface/icons/ship_overlay_icons.dds,-1,binary-differs
gfx/interface/main/game_logo.dds,-1,binary-differs
gfx/interface/main/navbar_bg.dds,-1,binary-differs
gfx/interface/main/navbar_bg_wide.dds,-1,binary-differs
gfx/interface/main/topbar_background.dds,-1,binary-differs
gfx/interface/main/topbar_background_cutoff.dds,-1,binary-differs
gfx/interface/main/topbar_bar_04.dds,-1,binary-differs
gfx/interface/planetview/planet_view_center_hex_bg.dds,-1,binary-differs
gfx/interface/planetview/planet_view_middle.dds,-1,binary-differs
gfx/interface/situation_log/event_mask.dds,-1,binary-differs
gfx/interface/tiles/clean_frame_area.dds,-1,binary-differs
gfx/interface/tiles/green_bg_tile.dds,-1,binary-differs
gfx/interface/tiles/topbar_bar.dds,-1,binary-differs
gfx/interface/traditions/arrow_bridge.dds,-1,binary-differs
gfx/interface/traditions/arrow_double.dds,-1,binary-differs
gfx/interface/traditions/arrow_long.dds,-1,binary-differs
gfx/interface/traditions/arrow_merge.dds,-1,binary-differs
gfx/interface/traditions/arrow_merge_in_left.dds,-1,binary-differs
gfx/interface/traditions/arrow_merge_in_right.dds,-1,binary-differs
gfx/interface/traditions/arrow_merge_wide.dds,-1,binary-differs
gfx/interface/traditions/arrow_side_step_left.dds,-1,binary-differs
gfx/interface/traditions/arrow_side_step_right.dds,-1,binary-differs
gfx/interface/traditions/arrow_single.dds,-1,binary-differs
gfx/lights/star_lights.asset,2,text
gfx/loadingscreens/load_1.dds,-1,binary-differs
gfx/loadingscreens/load_10.dds,-1,binary-differs
gfx/loadingscreens/load_11.dds,-1,binary-differs
gfx/loadingscreens/load_12.dds,-1,binary-differs
gfx/loadingscreens/load_13.dds,-1,binary-differs
gfx/loadingscreens/load_14.dds,-1,binary-differs
gfx/loadingscreens/load_15.dds,-1,binary-differs
gfx/loadingscreens/load_16.dds,-1,binary-differs
gfx/loadingscreens/load_17.dds,-1,binary-differs
gfx/loadingscreens/load_18.dds,-1,binary-differs
gfx/loadingscreens/load_19.dds,-1,binary-differs
gfx/loadingscreens/load_2.dds,-1,binary-differs
gfx/loadingscreens/load_3.dds,-1,binary-differs
gfx/loadingscreens/load_4.dds,-1,binary-differs
gfx/loadingscreens/load_5.dds,-1,binary-differs
gfx/loadingscreens/load_6.dds,-1,binary-differs
gfx/loadingscreens/load_7.dds,-1,binary-differs
gfx/loadingscreens/load_8.dds,-1,binary-differs
gfx/loadingscreens/load_9.dds,-1,binary-differs
gfx/map/center.dds,-1,binary-differs
gfx/map/galaxycolor.dds,-1,binary-differs
gfx/map/nebulacolor.dds,-1,binary-differs
gfx/map/star_classes/b_star.dds,-1,binary-differs
gfx/map/star_classes/t_star.dds,-1,binary-differs
gfx/models/galaxy_map/_galaxy_map_objects.asset,12,text
gfx/models/planets/_planetary_entities.asset,1318,text
gfx/models/planets/_star_entities.asset,21,text
gfx/models/planets/alpine_01_diffuse.dds,-1,binary-differs
gfx/models/planets/alpine_01_normal.dds,-1,binary-differs
gfx/models/planets/alpine_01_specular.dds,-1,binary-differs
gfx/models/planets/alpine_02_diffuse.dds,-1,binary-differs
gfx/models/planets/alpine_02_normal.dds,-1,binary-differs
gfx/models/planets/alpine_02_specular.dds,-1,binary-differs
gfx/models/planets/alpine_03_diffuse.dds,-1,binary-differs
gfx/models/planets/alpine_03_normal.dds,-1,binary-differs
gfx/models/planets/alpine_03_specular.dds,-1,binary-differs
gfx/models/planets/arctic_01_diffuse.dds,-1,binary-differs
gfx/models/planets/arctic_02_diffuse.dds,-1,binary-differs
gfx/models/planets/arctic_03_diffuse.dds,-1,binary-differs
gfx/models/planets/arid_01_diffuse.dds,-1,binary-differs
gfx/models/planets/arid_01_normal.dds,-1,binary-differs
gfx/models/planets/arid_02_diffuse.dds,-1,binary-differs
gfx/models/planets/arid_02_normal.dds,-1,binary-differs
gfx/models/planets/arid_03_diffuse.dds,-1,binary-differs
gfx/models/planets/arid_03_normal.dds,-1,binary-differs
gfx/models/planets/barren_01_diffuse.dds,-1,binary-differs
gfx/models/planets/barren_01_normal.dds,-1,binary-differs
gfx/models/planets/barren_01_specular.dds,-1,binary-differs
gfx/models/planets/barren_02_diffuse.dds,-1,binary-differs
gfx/models/planets/barren_02_normal.dds,-1,binary-differs
gfx/models/planets/barren_02_specular.dds,-1,binary-differs
gfx/models/planets/barren_03_diffuse.dds,-1,binary-differs
gfx/models/planets/barren_03_normal.dds,-1,binary-differs
gfx/models/planets/barren_03_specular.dds,-1,binary-differs
gfx/models/planets/barren_04_diffuse.dds,-1,binary-differs
gfx/models/planets/barren_04_normal.dds,-1,binary-differs
gfx/models/planets/barren_04_specular.dds,-1,binary-differs
gfx/models/planets/clouded_planet.mesh,-1,binary-differs
gfx/models/planets/cold_barren_01_diffuse.dds,-1,binary-differs
gfx/models/planets/cold_barren_02_diffuse.dds,-1,binary-differs
gfx/models/planets/cold_barren_03_diffuse.dds,-1,binary-differs
gfx/models/planets/cold_barren_04_diffuse.dds,-1,binary-differs
gfx/models/planets/cold_barren_04_normal.dds,-1,binary-differs
gfx/models/planets/cold_barren_04_specular.dds,-1,binary-differs
gfx/models/planets/continental_01_diffuse.dds,-1,binary-differs
gfx/models/planets/continental_02_diffuse.dds,-1,binary-differs
gfx/models/planets/continental_03_diffuse.dds,-1,binary-differs
gfx/models/planets/desert_01_diffuse.dds,-1,binary-differs
gfx/models/planets/desert_01_normal.dds,-1,binary-differs
gfx/models/planets/desert_02_diffuse.dds,-1,binary-differs
gfx/models/planets/desert_02_normal.dds,-1,binary-differs
gfx/models/planets/desert_03_diffuse.dds,-1,binary-differs
gfx/models/planets/desert_03_normal.dds,-1,binary-differs
gfx/models/planets/distant_stars_planets/_distant_stars_star_entities.asset,15,text
gfx/models/planets/distant_stars_planets/brown_dwarf_01_clouds_diffuse.dds,-1,binary-differs
gfx/models/planets/distant_stars_planets/brown_dwarf_01_clouds_shadow_diffuse.dds,0,identical
gfx/models/planets/distant_stars_planets/brown_dwarf_01_diffuse.dds,-1,binary-differs
gfx/models/planets/frozen_01_diffuse.dds,-1,binary-differs
gfx/models/planets/frozen_02_diffuse.dds,-1,binary-differs
gfx/models/planets/frozen_03_diffuse.dds,-1,binary-differs
gfx/models/planets/gaia_01_diffuse.dds,-1,binary-differs
gfx/models/planets/gas_giant_01_diffuse.dds,-1,binary-differs
gfx/models/planets/gas_giant_01_normal.dds,-1,binary-differs
gfx/models/planets/gas_giant_01_specular.dds,-1,binary-differs
gfx/models/planets/gas_giant_02_diffuse.dds,-1,binary-differs
gfx/models/planets/gas_giant_03_diffuse.dds,-1,binary-differs
gfx/models/planets/gas_giant_04_diffuse.dds,-1,binary-differs
gfx/models/planets/gas_giant_05_diffuse.dds,-1,binary-differs
gfx/models/planets/gas_giant_06_diffuse.dds,-1,binary-differs
gfx/models/planets/gas_giant_06_normal.dds,-1,binary-differs
gfx/models/planets/gas_giant_07_diffuse.dds,-1,binary-differs
gfx/models/planets/gas_giant_08_diffuse.dds,-1,binary-differs
gfx/models/planets/molten_01_diffuse.dds,-1,binary-differs
gfx/models/planets/molten_01_specular.dds,-1,binary-differs
gfx/models/planets/molten_02_diffuse.dds,-1,binary-differs
gfx/models/planets/molten_02_specular.dds,-1,binary-differs
gfx/models/planets/molten_03_diffuse.dds,-1,binary-differs
gfx/models/planets/molten_03_specular.dds,-1,binary-differs
gfx/models/planets/molten_04_diffuse.dds,-1,binary-differs
gfx/models/planets/molten_04_normal.dds,-1,binary-differs
gfx/models/planets/molten_04_specular.dds,-1,binary-differs
gfx/models/planets/nuked_clouds_medium_diffuse.dds,-1,binary-differs
gfx/models/planets/nuked_planet_01.mesh,-1,binary-differs
gfx/models/planets/ocean_01_diffuse.dds,-1,binary-differs
gfx/models/planets/ocean_01_normal.dds,-1,binary-differs
gfx/models/planets/ocean_02_diffuse.dds,-1,binary-differs
gfx/models/planets/ocean_02_normal.dds,-1,binary-differs
gfx/models/planets/ocean_03_diffuse.dds,-1,binary-differs
gfx/models/planets/ocean_03_normal.dds,-1,binary-differs
gfx/models/planets/planet_clouded.mesh,-1,binary-differs
gfx/models/planets/planet_no_pole_no_clouds.mesh,-1,binary-differs
gfx/models/planets/planet_non_clouded.mesh,-1,binary-differs
gfx/models/planets/planet_shielded.mesh,-1,binary-differs
gfx/models/planets/savannah_01_diffuse.dds,-1,binary-differs
gfx/models/planets/savannah_01_normal.dds,-1,binary-differs
gfx/models/planets/savannah_01_specular.dds,-1,binary-differs
gfx/models/planets/savannah_02_diffuse.dds,-1,binary-differs
gfx/models/planets/savannah_02_normal.dds,-1,binary-differs
gfx/models/planets/savannah_02_specular.dds,-1,binary-differs
gfx/models/planets/shielded_planet.mesh,-1,binary-differs
gfx/models/planets/tropical_01_diffuse.dds,-1,binary-differs
gfx/models/planets/tropical_01_normal.dds,-1,binary-differs
gfx/models/planets/tropical_02_diffuse.dds,-1,binary-differs
gfx/models/planets/tropical_02_normal.dds,-1,binary-differs
gfx/models/planets/tropical_03_diffuse.dds,-1,binary-differs
gfx/models/planets/tropical_03_normal.dds,-1,binary-differs
gfx/models/planets/tundra_01_diffuse.dds,-1,binary-differs
gfx/models/planets/tundra_01_normal.dds,-1,binary-differs
gfx/models/planets/tundra_02_diffuse.dds,-1,binary-differs
gfx/models/planets/tundra_02_normal.dds,-1,binary-differs
gfx/models/planets/tundra_03_diffuse.dds,-1,binary-differs
gfx/models/planets/tundra_03_normal.dds,-1,binary-differs
gfx/models/ships/megastructures/gateway/gateway.asset,639,text
gfx/models/ships/megastructures/gateway/gateway_portal.asset,6,text
gfx/models/ui/frontend_background.asset,51,text
gfx/models/ui/frontend_background.dds,-1,binary-differs
gfx/models/ui/frontend_background.mesh,-1,binary-differs
gfx/models/ui/overlord_frontend.asset,46,text
gfx/models/ui/overlord_frontend.gfx,56,text
gfx/particles/ships/ai_blue_station_explosion.asset,234,text
gfx/particles/ships/ai_station_explosion.asset,229,text
gfx/particles/ships/avian_01_large_ship_explosion.asset,519,text
gfx/particles/ships/avian_small_ship_explosion.asset,864,text
gfx/particles/ships/fungoid_01_large_ship_explosion.asset,588,text
gfx/particles/ships/fungoid_02_large_ship_explosion.asset,479,text
gfx/particles/ships/fungoid_large_ship_explosion.asset,430,text
gfx/particles/ships/habitat_explosion_effect.asset,250,text
gfx/particles/ships/large_ship_burn_effect.asset,34,text
gfx/particles/ships/large_ship_explosion.asset,577,text
gfx/particles/ships/player_ship_explosion_effect.asset,321,text
gfx/particles/ships/ship_burn_effect.asset,28,text
gfx/particles/ships/ship_explosion.asset,802,text
gfx/particles/ships/ship_explosion_air_vent.asset,465,text
gfx/particles/ships/station_explosion.asset,223,text
gfx/portraits/environments/pc_alpine_sky02.dds,-1,binary-differs
gfx/portraits/environments/pc_alpine_sky03.dds,-1,binary-differs
gfx/portraits/environments/pc_arctic_sky02.dds,-1,binary-differs
gfx/portraits/environments/pc_arctic_sky03.dds,-1,binary-differs
gfx/portraits/environments/pc_arid_sky02.dds,-1,binary-differs
gfx/portraits/environments/pc_arid_sky03.dds,-1,binary-differs
gfx/portraits/environments/pc_b_star_sky.dds,-1,binary-differs
gfx/portraits/environments/pc_broken_sky.dds,-1,binary-differs
gfx/portraits/environments/pc_browndwarf_sky.dds,-1,binary-differs
gfx/portraits/environments/pc_city_sky02.dds,-1,binary-differs
gfx/portraits/environments/pc_city_sky03.dds,-1,binary-differs
gfx/portraits/environments/pc_continental_sky02.dds,-1,binary-differs
gfx/portraits/environments/pc_continental_sky03.dds,-1,binary-differs
gfx/portraits/environments/pc_desert_sky02.dds,-1,binary-differs
gfx/portraits/environments/pc_desert_sky03.dds,-1,binary-differs
gfx/portraits/environments/pc_gaia_sky02.dds,-1,binary-differs
gfx/portraits/environments/pc_gaia_sky03.dds,-1,binary-differs
gfx/portraits/environments/pc_ocean_sky02.dds,-1,binary-differs
gfx/portraits/environments/pc_ocean_sky03.dds,-1,binary-differs
gfx/portraits/environments/pc_savannah_sky02.dds,-1,binary-differs
gfx/portraits/environments/pc_savannah_sky03.dds,-1,binary-differs
gfx/portraits/environments/pc_tropical_sky02.dds,-1,binary-differs
gfx/portraits/environments/pc_tropical_sky03.dds,-1,binary-differs
gfx/portraits/environments/pc_tundra_sky02.dds,-1,binary-differs
gfx/portraits/environments/pc_tundra_sky03.dds,-1,binary-differs
gfx/worldgfx/default.txt,1,text
gfx/worldgfx/star_a_class.txt,29,text
gfx/worldgfx/star_b_class.txt,35,text
gfx/worldgfx/star_black_hole.txt,19,text
gfx/worldgfx/star_ed_class.txt,25,text
gfx/worldgfx/star_f_class.txt,63,text
gfx/worldgfx/star_g_class.txt,51,text
gfx/worldgfx/star_k_class.txt,60,text
gfx/worldgfx/star_m_class.txt,36,text
gfx/worldgfx/star_neutron.txt,28,text
gfx/worldgfx/star_pulsar.txt,21,text
gfx/worldgfx/star_t_class.txt,10,text
interface/credits.gui,14,text
interface/credits.txt,7066,text
interface/fonts.gfx,120,text
interface/frontend.gui,111,text
interface/frontend_dlc.gui,7,text
interface/game_setup/setup.gfx,184,text
interface/game_setup/setup.gui,2,text
interface/icons.gfx,675,text
interface/leaders.gfx,34,text
interface/load_screen.gfx,13,text
interface/load_screen.gui,5,text
interface/main.gui,801,text
interface/main_bottom.gui,25,text
interface/mapicons.gfx,121,text
interface/matchmaking.gfx,108,text
interface/monthly_trade_view.gui,8,text
interface/multiplayer_view.gfx,6,text
interface/resource_groups/topbar_other_resource_groups.txt,51,text
interface/resource_groups/topbar_single_resource_groups.txt,111,text
interface/select_empire_design.gui,61,text
interface/standard_dialog.gui,239,text
interface/start_screen.gui,207,text
map/setup_scenarios/huge.txt,61,text
map/setup_scenarios/large.txt,61,text
map/setup_scenarios/medium.txt,61,text
map/setup_scenarios/small.txt,57,text
map/setup_scenarios/tiny.txt,56,text
flags/backgrounds/00_solid.dds,0,identical
flags/backgrounds/circle.dds,0,identical
flags/backgrounds/diagonal.dds,0,identical
flags/backgrounds/diagonal_stripe.dds,0,identical
flags/backgrounds/double_hemispheres.dds,0,identical
flags/backgrounds/double_triangles.dds,0,identical
flags/backgrounds/flag_BG_1.dds,0,identical
flags/backgrounds/flag_BG_10.dds,0,identical
flags/backgrounds/flag_BG_11.dds,0,identical
flags/backgrounds/flag_BG_12.dds,0,identical
flags/backgrounds/flag_BG_13.dds,0,identical
flags/backgrounds/flag_BG_15.dds,0,identical
flags/backgrounds/flag_BG_17.dds,0,identical
flags/backgrounds/flag_BG_18.dds,0,identical
flags/backgrounds/flag_BG_19.dds,0,identical
flags/backgrounds/flag_BG_2.dds,0,identical
